coords,ground x,ground y,likelihood,endpoint x,endpoint y,likelihood,hMax x,hMax y,likelihood,vMax x,vMax y,likelihood
71,1015.452774,580.583812,0.32593894,624.9871824,909.0375293,0.393656194,221.9906454,552.2347999,0.877501011,918.2781389,1524.786931,0.878284395
72,1015.506946,580.5927726,0.324622124,625.2555065,909.0435041,0.389212161,221.966064,552.2984891,0.878768027,918.271528,1524.776074,0.880596757
73,1015.624099,580.6357931,0.324291229,625.2540054,909.0554903,0.377391845,221.9240417,552.2763844,0.879429519,918.2797625,1524.655161,0.879109502
74,1015.504898,580.6071215,0.327139199,625.4217203,909.2372992,0.378659546,221.9514213,552.2910652,0.87994504,918.3204319,1524.635124,0.881051481
75,1015.68816,580.6477373,0.32917583,625.5017989,909.2820177,0.386674583,222.0197945,552.3024483,0.880544543,918.0066044,1524.869552,0.882532716
76,1015.75995,580.2570151,0.307514191,634.4528713,916.3684955,0.387324631,221.7282786,552.2722688,0.87892437,918.9362228,1525.16333,0.881545901
77,1015.717381,580.2246718,0.309375733,625.3593242,909.436757,0.388409048,221.8204818,552.2464075,0.880535722,918.9922357,1524.938734,0.879230022
78,1015.759546,580.1826399,0.303050697,634.9486418,915.841721,0.406647086,221.8992848,552.1964245,0.88109833,918.7023466,1525.002144,0.881818771
79,1015.733107,580.1053761,0.307185769,625.1092911,909.1182023,0.386144608,221.9316359,552.1611528,0.889001012,918.7723553,1524.769279,0.881411314
80,1015.489468,577.0837088,0.308030486,625.1865971,909.1092401,0.391521066,221.8338532,552.1397095,0.888682723,918.6537042,1524.543671,0.880163431
81,1015.482555,577.0768466,0.308818996,625.2268186,909.043184,0.401385337,221.8681111,552.2215767,0.886738896,918.6023865,1524.61192,0.881507695
82,1015.455869,577.1112633,0.313790798,625.409163,909.1246367,0.402539343,222.0186434,552.1121511,0.890502274,918.6121304,1524.614684,0.877756596
83,1015.365452,577.2254286,0.312292635,625.4615436,909.2528838,0.391100705,221.9902229,552.1324139,0.887866855,918.5714352,1524.643536,0.878866673
84,1015.406223,577.3344235,0.309331417,635.009676,915.877143,0.412354171,221.984992,552.181664,0.88473928,918.6406844,1524.881063,0.878421664
85,1015.197776,577.4305725,0.308352411,634.7964716,915.9421515,0.398722053,221.9886069,552.2319403,0.8868258,918.6986783,1524.954528,0.880259275
86,1015.57871,580.2725242,0.309953511,625.4574025,909.5360888,0.388071269,221.9718657,552.1939778,0.885040283,918.5041816,1524.683297,0.882931828
87,1015.565074,580.2115182,0.310575157,635.0347242,915.8390597,0.401829839,221.93151,552.1541538,0.879818678,918.5478508,1524.714197,0.880839348
88,1015.401951,577.3336263,0.312187821,634.7352667,915.8427879,0.394227266,221.9458275,551.9409399,0.880368173,918.5690291,1524.735175,0.878197193
89,1015.566564,577.2092195,0.31263414,634.6372452,916.0520803,0.410257638,221.8607273,552.0985579,0.882070482,918.662807,1524.626107,0.877400041
90,1015.759338,580.4763018,0.322945416,654.984056,918.3685155,0.389442503,221.851089,551.603158,0.874469042,918.5085685,1524.559973,0.879853487
91,1014.097593,573.7232265,0.319502354,634.4370356,915.7750707,0.430158466,222.0106258,551.7276044,0.877667129,918.7208164,1524.510878,0.875415385
92,1014.213826,573.7713747,0.314525038,634.6171799,915.8789181,0.434249043,221.9924583,551.9237211,0.878161192,918.6589465,1524.528069,0.878026187
93,1014.188514,573.8724737,0.312296391,622.7993011,913.4124572,0.451235145,222.0245633,551.9743779,0.879134536,918.9467399,1524.483603,0.87461555
94,214.3468658,543.5949682,0.426662207,629.9113247,932.6600895,0.538508534,218.4031301,555.1029119,0.248302788,216.0251028,541.073828,0.271479905
95,1016.223241,578.160728,0.407667696,670.8544912,979.5140448,0.494302183,222.0467877,552.0088873,0.878630757,918.8307958,1524.861336,0.877415717
96,1016.353581,575.1407442,0.460265785,716.709918,1028.625236,0.675235808,222.069016,551.8853788,0.882470071,918.8160074,1524.7699,0.878014684
97,214.7671621,542.8385751,0.403565794,772.2011914,1062.987946,0.753772616,216.930424,568.0527338,0.24712956,215.5128252,541.2882023,0.297598183
98,1016.919047,573.769537,0.539839566,779.6487646,1069.374151,0.696740985,222.0191541,551.7614105,0.88403976,919.064455,1524.385694,0.888992786
99,1016.792508,573.23876,0.557969689,770.0054702,1063.307148,0.75717628,222.0241442,551.7385259,0.888166606,919.104387,1524.222436,0.892620623
100,214.7967309,542.8404543,0.406511694,757.4311728,1058.56626,0.837856412,216.9261807,568.0325433,0.244078755,215.4617027,541.2388322,0.297377139
101,1016.396414,573.6861124,0.553872705,756.2342588,1055.682594,0.794715583,222.0117373,551.823854,0.884905159,918.883074,1524.632553,0.889527202
